genre_id,genre_name
1,fiction
2,history
3,historical fiction
4,biography
5,fantasy
6,paranormal
7,mystery
8,thriller
9,crime
10,poetry
11,romance
12,children
13,young-adult
14,non-fiction
15,comics
16,graphic
